ID,lineage,cell,MYC
ACH-000329,central_nervous_system,CCFSTTG1,1.005608861
ACH-000330,breast,EFM19,1.222747026
ACH-000331,lung,ISTMES2,1.614779132
ACH-000332,pancreas,YAPC,1.321744202
ACH-000333,ovary,JHOM2B,1.315540055
ACH-000334,lymphocyte,DB,1.35807817
ACH-000335,lung,MSTO211H,3.727788392
ACH-000336,blood,OCIAML3,1.240734093
ACH-000337,lung,NCIH3122,1.255638604
ACH-000338,lymphocyte,SR786,1.115420453
ACH-000339,lung,HCC461,0.884988125
ACH-000340,fibroblast,HS870T,1.011143205
ACH-000341,peripheral_nervous_system,SKNFI,0.88521098
ACH-000342,colorectal,CL14,0.634363629
ACH-000343,lung,NCIH522,1.027085069
ACH-000344,gastric,SNU668,1.764082059
ACH-000345,peripheral_nervous_system,KPNRTBM1,1.009331988
ACH-000346,blood,JVM3,0.918641845
ACH-000347,pancreas,QGP1,1.120167044
ACH-000348,skin,RPMI7951,1.113986113
ACH-000349,breast,HCC1500,1.332400793
ACH-000350,colorectal,COLO678,0.889338374
ACH-000351,gastric,MKN1,1.617522152
ACH-000352,breast,HCC1428,1.816189205
ACH-000353,esophagus,TE15,0.822680423
ACH-000354,pancreas,CAPAN1,1.525953493
ACH-000355,lung,NCIH82,5.146236546
ACH-000356,gastric,MKN45,1.103088785
ACH-000357,lymphocyte,JEKO1,1.187543445
ACH-000358,lung,NCIH69,1.076848668
ACH-000359,bone,MG63,2.636934045
ACH-000360,colorectal,NCIH508,1.007908056
ACH-000361,liver,SKHEP1,0.920975377
ACH-000362,blood,MOLM13,1.78003877
ACH-000363,plasma_cell,SKMM2,1.0552132
ACH-000364,bone,U2OS,1.529156468
ACH-000365,lymphocyte,SUDHL4,0.975291774
ACH-000366,peripheral_nervous_system,SKNDZ,0.930503934
ACH-000367,lung,NCIH226,1.059811125
ACH-000368,central_nervous_system,SNU1105,1.02653309
ACH-000369,blood,MOLM16,0.954516867
ACH-000370,central_nervous_system,SNU626,1.17170249
ACH-000371,lymphocyte,RL,0.948660783
ACH-000372,blood,P12ICHIKAWA,1.019941949
ACH-000373,blood,SKM1,1.896240365
ACH-000374,breast,HCC1143,1.72524122
ACH-000375,soft_tissue,G402,1.004873203
ACH-000376,central_nervous_system,SF295,1.002848306
ACH-000377,bile_duct,SNU478,5.490847344
ACH-000378,lung,NCIH647,2.709927696
ACH-000379,lung,NCIH1781,1.889280369
ACH-000380,plasma_cell,KMS12BM,1.501633994
ACH-000381,colorectal,T84,0.966352757
ACH-000382,lung,CORL24,1.047348345
ACH-000383,esophagus,OE33,1.377249873
ACH-000384,urinary_tract,SW780,1.029541394
ACH-000385,kidney,SKRC20,1.487301492
ACH-000386,blood,KG1,1.557580096
ACH-000387,blood,TF1,1.212263532
ACH-000388,lymphocyte,NUDHL1,1.30660867
ACH-000389,central_nervous_system,H4,0.974421351
ACH-000390,lung,LUDLU1,1.292637405
ACH-000391,bone,MHHES1,1.142289717
ACH-000392,lung,CALU3,1.429889528
ACH-000393,liver,HLF,0.822415777
ACH-000394,lung,NCIH2081,2.115792155
ACH-000395,lung,NCIH520,1.173868138
ACH-000396,urinary_tract,J82,1.187052679
ACH-000397,uterus,TEN,1.068618519
ACH-000398,lymphocyte,RI1,0.96474166
ACH-000399,lung,NCIH2196,1.060852081
ACH-000400,colorectal,SKCO1,1.474732594
ACH-000401,skin,COLO800,0.953871868
ACH-000402,lymphocyte,BL70,0.997520135
ACH-000403,colorectal,NCIH747,0.890035221
ACH-000404,skin,K029AX,1.031192073
ACH-000405,blood,MEC1,1.000965323
ACH-000406,blood,U937,1.148552138
ACH-000407,uterus,SNU685,3.181884065
ACH-000408,esophagus,TE5,1.385707471
ACH-000409,ovary,OVSAHO,1.355372456
ACH-000410,bone,SAOS2,1.594945692
ACH-000411,kidney,769P,1.260258001
ACH-000412,colorectal,SNU1197,1.020183743
ACH-000413,fibroblast,HS739T,1.005008664
ACH-000414,lung,NCIH1944,1.504550293
ACH-000415,upper_aerodigestive,BICR6,1.050672794
ACH-000416,lung,NCIH838,1.255287595
ACH-000417,pancreas,PANC0813,1.630585751
ACH-000418,bone,SW1353,0.988245281
ACH-000419,plasma_cell,KMS28BM,1.389076032
ACH-000420,liver,SNU449,1.270908454
ACH-000421,colorectal,SW837,1.025793025
ACH-000422,liver,SNU475,1.245484346
ACH-000423,skin,SKMEL3,1.050647966
ACH-000424,bone,TC71,2.528586806
ACH-000425,skin,UACC62,1.04224238
ACH-000426,plasma_cell,KMS20,1.027661197
ACH-000427,gastric,NCIN87,1.337796682
ACH-000428,kidney,UO31,1.150916289
